เส้นทางต้นทาง,สถานีต้นทาง,เส้นทางปลายทาง,สถานีปลายทาง,ค่าโดยสารหน่วยบาท
สายสุขุมวิท,Royal Thai Air Force Museum,สายสีลม,Saphan Taksin,47
สายสุขุมวิท,Royal Thai Air Force Museum,สายสีลม,Krung Thon Buri,47
สายสุขุมวิท,Royal Thai Air Force Museum,สายสีลม,Wongwian Yai,47
สายสุขุมวิท,Royal Thai Air Force Museum,สายสีลม,Pho Nimit,62
สายสุขุมวิท,Royal Thai Air Force Museum,สายสีลม,Talat Phlu,62
สายสุขุมวิท,Royal Thai Air Force Museum,สายสีลม,Wutthakat,62
สายสุขุมวิท,Royal Thai Air Force Museum,สายสีลม,Bang Wa,62 
สายสุขุมวิท,Bhumibol Adulyadej Hospital,สายสุขุมวิท,Khu Khot, 0
สายสุขุมวิท,Bhumibol Adulyadej Hospital,สายสุขุมวิท,Yaek Kor Por Aor,0
สายสุขุมวิท,Bhumibol Adulyadej Hospital,สายสุขุมวิท,Royal Thai Air Force Museum,0
สายสุขุมวิท,Bhumibol Adulyadej Hospital,สายสุขุมวิท,Bhumibol Adulyadej Hospital,0
สายสุขุมวิท,Bhumibol Adulyadej Hospital,สายสุขุมวิท,Saphan Mai,0
สายสุขุมวิท,Bhumibol Adulyadej Hospital,สายสุขุมวิท,Sai Yud,0
สายสุขุมวิท,Bhumibol Adulyadej Hospital,สายสุขุมวิท,Phahon Yothin 59,0
สายสุขุมวิท,Bhumibol Adulyadej Hospital,สายสุขุมวิท,Wat Phra Sri Mahathat,0
สายสุขุมวิท,Bhumibol Adulyadej Hospital,สายสุขุมวิท,11th Infantry Regiment,0
สายสุขุมวิท,Bhumibol Adulyadej Hospital,สายสุขุมวิท,Bang Bua,0
สายสุขุมวิท,Bhumibol Adulyadej Hospital,สายสุขุมวิท,Royal Forest Department,0
สายสุขุมวิท,Bhumibol Adulyadej Hospital,สายสุขุมวิท,Kasetsart University,0
สายสุขุมวิท,Bhumibol Adulyadej Hospital,สายสุขุมวิท,Sena Nikhom,0
สายสุขุมวิท,Bhumibol Adulyadej Hospital,สายสุขุมวิท,Ratchayothin,0
สายสุขุมวิท,Bhumibol Adulyadej Hospital,สายสุขุมวิท,Phahon Yothin 24,0
สายสุขุมวิท,Bhumibol Adulyadej Hospital,สายสุขุมวิท,Ha Yaek Lat Phrao,0
สายสุขุมวิท,Bhumibol Adulyadej Hospital,สายสุขุมวิท,Mo Chit,0
สายสุขุมวิท,Bhumibol Adulyadej Hospital,สายสุขุมวิท,Saphan Khwai,17
สายสุขุมวิท,Bhumibol Adulyadej Hospital,สายสุขุมวิท,Ari,28
สายสุขุมวิท,Bhumibol Adulyadej Hospital,สายสุขุมวิท,Sanam Pao,32
สายสุขุมวิท,Bhumibol Adulyadej Hospital,สายสุขุมวิท,Victory Monument,35
สายสุขุมวิท,Bhumibol Adulyadej Hospital,สายสุขุมวิท,Phaya Thai,40
สายสุขุมวิท,Bhumibol Adulyadej Hospital,สายสุขุมวิท,Ratchathewi,43
สายสุขุมวิท,Bhumibol Adulyadej Hospital,สายสุขุมวิท,Siam,47
สายสุขุมวิท,Bhumibol Adulyadej Hospital,สายสุขุมวิท,Chit Lom,47
สายสุขุมวิท,Bhumibol Adulyadej Hospital,สายสุขุมวิท,Phloen Chit,47
สายสุขุมวิท,Bhumibol Adulyadej Hospital,สายสุขุมวิท,Nana,47
สายสุขุมวิท,Bhumibol Adulyadej Hospital,สายสุขุมวิท,Asok,47
สายสุขุมวิท,Bhumibol Adulyadej Hospital,สายสุขุมวิท,Phrom Phong,47
สายสุขุมวิท,Bhumibol Adulyadej Hospital,สายสุขุมวิท,Thong Lo,47
สายสุขุมวิท,Bhumibol Adulyadej Hospital,สายสุขุมวิท,Ekkamai,47
สายสุขุมวิท,Bhumibol Adulyadej Hospital,สายสุขุมวิท,Phra Khanong,47
สายสุขุมวิท,Bhumibol Adulyadej Hospital,สายสุขุมวิท,On Nut,47
สายสุขุมวิท,Bhumibol Adulyadej Hospital,สายสุขุมวิท,Bang Chak,62
สายสุขุมวิท,Bhumibol Adulyadej Hospital,สายสุขุมวิท,Punnawithi,62
สายสุขุมวิท,Bhumibol Adulyadej Hospital,สายสุขุมวิท,Udom Suk,62
สายสุขุมวิท,Bhumibol Adulyadej Hospital,สายสุขุมวิท,Bang Na,62
สายสุขุมวิท,Bhumibol Adulyadej Hospital,สายสุขุมวิท,Bearing,62
สายสุขุมวิท,Bhumibol Adulyadej Hospital,สายสุขุมวิท,Samrong,62
สายสุขุมวิท,Bhumibol Adulyadej Hospital,สายสุขุมวิท,Pu Chao,62
สายสุขุมวิท,Bhumibol Adulyadej Hospital,สายสุขุมวิท,Chang Erawan,62
สายสุขุมวิท,Bhumibol Adulyadej Hospital,สายสุขุมวิท,Royal Thai Naval Academy,62
สายสุขุมวิท,Bhumibol Adulyadej Hospital,สายสุขุมวิท,Pak Nam,62
สายสุขุมวิท,Bhumibol Adulyadej Hospital,สายสุขุมวิท,Srinagarindra,62
สายสุขุมวิท,Bhumibol Adulyadej Hospital,สายสุขุมวิท,Phraek Sa,62
สายสุขุมวิท,Bhumibol Adulyadej Hospital,สายสุขุมวิท,Sai Luat,62
สายสุขุมวิท,Bhumibol Adulyadej Hospital,สายสุขุมวิท,Kheha,62
สายสุขุมวิท,Bhumibol Adulyadej Hospital,สายสีลม,National Stadium,47
สายสุขุมวิท,Bhumibol Adulyadej Hospital,สายสีลม,Ratchadamri,47
สายสุขุมวิท,Bhumibol Adulyadej Hospital,สายสีลม,Sala Daeng,47
สายสุขุมวิท,Bhumibol Adulyadej Hospital,สายสีลม,Chong Nonsi,47
สายสุขุมวิท,Bhumibol Adulyadej Hospital,สายสีลม,Saint Louis,47
สายสุขุมวิท,Bhumibol Adulyadej Hospital,สายสีลม,Surasak,47
สายสุขุมวิท,Bhumibol Adulyadej Hospital,สายสีลม,Saphan Taksin,47
สายสุขุมวิท,Bhumibol Adulyadej Hospital,สายสีลม,Krung Thon Buri,47
สายสุขุมวิท,Bhumibol Adulyadej Hospital,สายสีลม,Wongwian Yai,47
สายสุขุมวิท,Bhumibol Adulyadej Hospital,สายสีลม,Pho Nimit,62
สายสุขุมวิท,Bhumibol Adulyadej Hospital,สายสีลม,Talat Phlu,62
สายสุขุมวิท,Bhumibol Adulyadej Hospital,สายสีลม,Wutthakat,62
สายสุขุมวิท,Bhumibol Adulyadej Hospital,สายสีลม,Bang Wa,62 
สายสุขุมวิท,Saphan Mai,สายสุขุมวิท,Khu Khot, 0
สายสุขุมวิท,Saphan Mai,สายสุขุมวิท,Yaek Kor Por Aor,0
สายสุขุมวิท,Saphan Mai,สายสุขุมวิท,Royal Thai Air Force Museum,0
สายสุขุมวิท,Saphan Mai,สายสุขุมวิท,Bhumibol Adulyadej Hospital,0
สายสุขุมวิท,Saphan Mai,สายสุขุมวิท,Saphan Mai,0
สายสุขุมวิท,Saphan Mai,สายสุขุมวิท,Sai Yud,0
สายสุขุมวิท,Saphan Mai,สายสุขุมวิท,Phahon Yothin 59,0
สายสุขุมวิท,Saphan Mai,สายสุขุมวิท,Wat Phra Sri Mahathat,0
สายสุขุมวิท,Saphan Mai,สายสุขุมวิท,11th Infantry Regiment,0
สายสุขุมวิท,Saphan Mai,สายสุขุมวิท,Bang Bua,0
สายสุขุมวิท,Saphan Mai,สายสุขุมวิท,Royal Forest Department,0
สายสุขุมวิท,Saphan Mai,สายสุขุมวิท,Kasetsart University,0
สายสุขุมวิท,Saphan Mai,สายสุขุมวิท,Sena Nikhom,0
สายสุขุมวิท,Saphan Mai,สายสุขุมวิท,Ratchayothin,0
สายสุขุมวิท,Saphan Mai,สายสุขุมวิท,Phahon Yothin 24,0
สายสุขุมวิท,Saphan Mai,สายสุขุมวิท,Ha Yaek Lat Phrao,0
สายสุขุมวิท,Saphan Mai,สายสุขุมวิท,Mo Chit,0
สายสุขุมวิท,Saphan Mai,สายสุขุมวิท,Saphan Khwai,17
สายสุขุมวิท,Saphan Mai,สายสุขุมวิท,Ari,28
สายสุขุมวิท,Saphan Mai,สายสุขุมวิท,Sanam Pao,32
สายสุขุมวิท,Saphan Mai,สายสุขุมวิท,Victory Monument,35
สายสุขุมวิท,Saphan Mai,สายสุขุมวิท,Phaya Thai,40
สายสุขุมวิท,Saphan Mai,สายสุขุมวิท,Ratchathewi,43
สายสุขุมวิท,Saphan Mai,สายสุขุมวิท,Siam,47
สายสุขุมวิท,Saphan Mai,สายสุขุมวิท,Chit Lom,47
สายสุขุมวิท,Saphan Mai,สายสุขุมวิท,Phloen Chit,47
สายสุขุมวิท,Saphan Mai,สายสุขุมวิท,Nana,47
สายสุขุมวิท,Saphan Mai,สายสุขุมวิท,Asok,47
สายสุขุมวิท,Saphan Mai,สายสุขุมวิท,Phrom Phong,47
สายสุขุมวิท,Saphan Mai,สายสุขุมวิท,Thong Lo,47
